,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
xlm-roberta-large-True,0.40287756092595983,0.3792949794806621,0.4106249116904703,0.10889679090154741,0.2156790457551675,0.296577454693379,0.25994462937527046,0.2701892430667075,0.45608629743116974,0.41286810661149453,0.5161132042125809,0.37738610911466264,0.5057386640988822,0.48536370420449526,0.5030589763988942,0.4147622357944499,0.4564759774003341,0.4264021976964506,0.3977055315492735,0.4038963409667292,0.4599792154885763,0.3105437988498262,0.5366606696495937,0.39288807291052924,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-xlarge-True,0.5147490931431896,0.5041012127422397,0.47646271528687006,0.48813196304375306,0.4872189444955807,0.4551082511977409,0.456006362121382,0.44847645594544316,0.43519298459423916,0.4178117636936995,0.4433301296149796,0.39195998477601585,0.40755594177622284,0.40528674122184033,0.42874488788293486,0.4116622048074194,0.38281917369826074,0.40929783869837544,0.405999845875874,0.3851995600849109,0.43039640221364395,0.4022889816957153,0.37373274534579504,0.2976341460185109,0.3793933196974086,0.42249853299582085,0.4199836191457307,0.4215091339449004,0.43301113934793406,0.4124544788219082,0.4237328240985127,0.4227138915743084,0.40717709303758876,0.390217940945124,0.4272400823993297,0.3747075835731425,0.40381875443998544,0.398206765939308,0.4297927325287059,0.4110233950337033,0.39676370306799824,0.42450070403725393,0.41044922269694933,0.3947275358992818,0.432890946324108,0.4430978548564101,0.44720857813326603,0.4818055838354878
google-reformer-crime-and-punishment-True,0.17619580361211626,0.12094194326666814,0.03788681397069654,0.17112179245196987,0.007207070803745614,0.15892389032551532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.6492468703930911,0.45439285776532107,0.5892336937644111,0.5308170679011049,0.6149262082111447,0.45051100838352726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.7120819953798675,0.35442167039905226,0.46719793882333355,0.48099182708596494,0.5706426065865374,0.513205547231151,0.5233577524510888,0.4120003748003712,0.5026235006682808,0.6097762876000057,0.56055104362675,0.46734946548696704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-bart-base-True,0.52515381549716,0.4894930147134207,0.49246819846048984,0.4767021957986865,0.45991400935369386,0.4943323403121391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xlarge-v2-True,0.6083230548950109,0.4388025326282256,0.5622723543291257,0.47307721850759565,0.4864842974049867,0.47388623834412086,0.4669536456149651,0.43446463936789076,0.4378330297836433,0.4106867304769672,0.39800502972084206,0.43424100156899487,0.4127877688188648,0.4032374546181384,0.41428051746309746,0.43209976123157584,0.4160646835589425,0.4241289261281275,0.4221964078834706,0.42297968255524293,0.42480853558911363,0.3999333308256672,0.3995197020759665,0.2844808200279105,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-large-4096-finetuned-triviaqa-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-muppet-roberta-base-True,0.5278701412288621,0.50745152434266,0.48821993247852763,0.4658123615207516,0.4639052139419206,0.44937351442450907,0.4373907056177511,0.4459103817289687,0.397924014782911,0.43087442639302104,0.4491615130719661,0.46656966643860165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-bigbird-roberta-large-True,0.6040456730025094,0.1852754399793478,0.41422104119772724,0.5624654460737919,0.5049518914427685,0.4510486478245516,0.3384128042890842,0.3166811545530166,0.2545919881593426,0.34234596195474726,0.3511684727450642,0.3856621956336027,0.41846245478414223,0.35731649391534986,0.32599308977180297,0.38282976713090006,0.3517430885134689,0.3256122593268951,0.3291547856688102,0.360844693861845,0.3298057865040481,0.3406780207306861,0.3358399109494122,0.2798853539763458,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-v2-xxlarge-True,0.7136016804924596,0.48524828576632173,0.5729908854707065,0.596817925620406,0.6048779871579847,0.5565801724241034,0.5348969603679811,0.48542194827667157,0.43031917436357936,0.43036580964127036,0.518907484375085,0.47676410904856503,0.4151049735660069,0.447202037061788,0.46761003297345216,0.49532426953133235,0.45749702022323235,0.5015847903915669,0.45398642357954316,0.4994947966531319,0.49107235747836475,0.35326476586433253,0.36959090141083306,0.4135700896316812,0.411735978337478,0.37716650640996185,0.37233237630262084,0.4390450369749244,0.34722226496491615,0.43614444516960954,0.4735404554455502,0.5126973480299518,0.49769517642398664,0.37906855081684,0.3049029884180678,0.3400540750916902,0.38894764846449237,0.20358794617976017,0.34141708989086383,0.3677004387172713,0.2921138205559173,0.3787749036823053,0.4447259155008682,0.43759612070738146,0.47230589866746925,0.31555375946555403,0.350211528040395,0.3765937622512434
