,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
task_2_allenai-longformer-large-4096-finetuned-triviaqa-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_roberta-large-True,0.5272399238892245,0.47231950658244465,0.5110285772519846,0.5467054548875392,0.4603798502280508,0.37393393674071257,0.34238621068011466,0.3423115987732289,0.35197098484065337,0.3707708320543576,0.33920190123724064,0.35987376157466594,0.34207868172046096,0.27184933930273125,0.2788316763070466,0.30571673934562166,0.313002774101688,0.3305826687987133,0.34076286064668654,0.37400487904965346,0.3880725578903634,0.3947388645625529,0.3593961412000602,0.439750171775225,,,,,,,,,,,,,,,,,,,,,,,,
task_2_gpt2-large-True,-0.37403474903474904,-0.35080730080730077,-0.27564935064935064,-0.20763425763425764,-0.23699543699543696,-0.13803966303966303,-0.17742190242190242,-0.22477184977184975,-0.24213759213759212,-0.21217093717093716,-0.32080554580554577,-0.23618813618813617,-0.2368023868023868,-0.35566865566865563,-0.2942172692172692,-0.37558792558792553,-0.3502544752544753,-0.32063882063882065,-0.34047034047034047,-0.2755089505089505,-0.2666725166725167,-0.30220252720252716,-0.2738767988767989,-0.27127062127062124,-0.28411723411723405,-0.3053878553878554,-0.27707967707967707,-0.26342576342576335,-0.19478764478764476,-0.1932432432432432,-0.2712969462969463,-0.16606704106704107,-0.20602843102843102,-0.2791242541242541,-0.2840031590031589,-0.3098016848016848,,,,,,,,,,,,
task_2_facebook-bart-base-True,0.5560125308003561,0.5189925063015678,0.4904800354489634,0.43835761769161463,0.4356191115171917,0.49069952854748394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_albert-large-v2-True,0.5786518813504635,0.5151484968578631,0.5066058264209579,0.47406238750154067,0.46005030543236103,0.4576540835250198,0.4483109772974935,0.43695171658489607,0.44591155297908525,0.4565000310024046,0.45942687908093754,0.4614695986873529,0.47443778890600596,0.4779641145882695,0.47293274105436206,0.4864946920491255,0.4883527612458412,0.4895501004248453,0.49941586694447393,0.5271478141829129,0.5468849375995296,0.5584716483112812,0.5976442893651933,0.5407066203727015,,,,,,,,,,,,,,,,,,,,,,,,
task_2_gpt2-True,0.4104534892569867,0.3884516529023537,0.44630437585248983,0.39997793522597874,0.41715595145031936,0.32810355157291277,0.3413905498198342,0.32338523020711313,0.3070081208750737,0.30780259881213207,0.30394834826162676,0.28767632079428995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_albert-xxlarge-v2-True,0.49815013156226334,0.5854234464177608,0.5324297535460012,0.5334335728346525,0.5004269137489588,0.4945279917097492,0.4952034892964965,0.4764974929689856,0.46852216456260626,0.48957053639017,0.5348638368773357,0.5778376761793413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_facebook-bart-large-True,0.5435033789320326,0.4853754145192169,0.45320163258322604,0.45369163716332617,0.49942151017472514,0.44951426009314,0.4499761708699097,0.39284623464947066,0.36494140742106096,0.3303794988797096,0.3425524002243956,0.3625213355315021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_google-bigbird-roberta-large-True,0.5623566088404678,0.4240312774764614,0.5706216210286661,0.5873411160752006,0.5343006205750986,0.48718419934270824,0.42248128644063493,0.38957427460905025,0.34619587593294276,0.4202376641875705,0.42595111823409676,0.46068780863977954,0.5093768384655729,0.4169580715444071,0.43945819321511737,0.4604583226524252,0.4522528551491801,0.46449599031651195,0.479218754243384,0.4872262999294532,0.4752509002842219,0.4762079607703989,0.47436174962930905,0.33045577329013687,,,,,,,,,,,,,,,,,,,,,,,,
task_2_xlnet-large-cased-True,0.437593681056559,0.4377064795155011,0.4351468000187476,0.4571079571874636,0.444594626980808,0.4579697151689431,0.4439040330879217,0.485100630132739,0.4497400205427711,0.49364971029265287,0.4799543173827203,0.4631996833909234,0.4401866160066227,0.4625503471166707,0.4622590853715744,0.4814826643139402,0.4585881300526974,0.4832178115605093,0.4435902906855976,0.375910513653627,0.37974695618722676,0.342347149132126,0.30476747684232774,0.5054187673585726,,,,,,,,,,,,,,,,,,,,,,,,
