,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
task_1_microsoft-deberta-v2-xlarge-True,0.6813268324630735,0.41298232759371156,0.482018204125619,0.5292267605814301,0.5051711776631576,0.4820651362192546,0.4444126973460997,0.3888695410262613,0.43178951566802176,0.4241981715445605,0.4840685912747419,0.39338945786847435,0.30702494704718913,0.34337973445597886,0.3635643128658603,0.39063522762572533,0.2842036364581366,0.3990701843242099,0.44332964914862805,0.41565091392414205,0.4523635526038563,0.3576680979997924,0.3344727596425223,0.4024760572329454,,,,,,,,,,,,,,,,,,,,,,,,
task_1_roberta-large-True,0.4958333069682937,0.4062744114059551,0.46410251293567256,0.49004813576243245,0.4095854364705741,0.34608266627204387,0.323964279779732,0.312733812335275,0.2873132150610317,0.3225550616592056,0.28504872456878444,0.3098465889674533,0.3092719150012712,0.2445630753217616,0.24978745685122192,0.2561770289900543,0.2594651916688849,0.29048731289432783,0.29506518695351275,0.3344650892440005,0.36063751898442215,0.35320400478059283,0.3220667994463756,0.38859713393891077,,,,,,,,,,,,,,,,,,,,,,,,
task_1_allenai-longformer-large-4096-finetuned-triviaqa-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_1_distilbert-base-cased-True,0.6292084055383778,0.4329107679976953,0.4788299787644791,0.4283407770593218,0.4544264581321174,0.5218810929295494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_1_microsoft-deberta-xlarge-True,0.5117032432648211,0.45660492371238337,0.45379223694516985,0.4777432533649654,0.4417077580219283,0.4153852126640272,0.42417756661064765,0.39746600847550906,0.3763869977771575,0.371859897893735,0.3916997694234464,0.34762510638273114,0.3705391804998674,0.3597909465946955,0.38600767238590067,0.36429615740300475,0.35487401519566975,0.3723266767522027,0.35898979632083305,0.35688890837240256,0.39731603887104255,0.3711668879173445,0.3269111719219975,0.22117663418602024,0.3405766487432764,0.3838888001436952,0.3566844472064054,0.3716116322179079,0.38259556970581327,0.3554638195993507,0.3648551035988403,0.35050220026505713,0.325502242595668,0.31158640887812433,0.34953003913643915,0.31414452699450096,0.33817870871992567,0.3221337824047459,0.35576104785943496,0.34605063604655295,0.33890861388451615,0.3582008366312501,0.3506335278481012,0.33997976118092704,0.3953777049147408,0.39684202316530026,0.4482852777675496,0.46171692564350936
task_1_gpt2-True,0.3696391128964203,0.36102704112605677,0.4127762042169852,0.34951333927421563,0.38211277667495075,0.3149380598257723,0.32922340022813473,0.3244650139507548,0.3038772338429186,0.2853335641157751,0.27487729161280455,0.24008667250801427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_1_albert-base-v2-True,0.5288442144544079,0.5395004324028254,0.5061864377837864,0.48640059301076277,0.4564426291466563,0.44961194650917985,0.4444306175382468,0.44850379350751235,0.46385424596297514,0.4986522561573708,0.5532455325617456,0.551090917528779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_1_google-bigbird-roberta-base-True,0.5979422106343836,0.5434717756287999,0.5649579630133104,0.4194845882159454,0.4230095202368325,0.44860387024250986,0.415484089656789,0.4543565175917777,0.4124651201654663,0.42855124462804856,0.4521749350948635,0.5145702055690633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_1_microsoft-deberta-large-True,0.5086255124041069,0.44484401518037514,0.4521845421722811,0.4555030169808933,0.4392470521727444,0.39701573600562945,0.4082234443313261,0.36744616574028627,0.3564334390461506,0.3687319838526922,0.38935843710249346,0.3393029716267778,0.36798089220750835,0.3458511819679838,0.3682237601486075,0.35153108849699594,0.34198401378874604,0.35400223022419003,0.34948105612601427,0.33769385489973736,0.3962597923250515,0.4034031773593706,0.44788379510533255,0.44812186261930304,,,,,,,,,,,,,,,,,,,,,,,,
task_1_albert-large-v2-True,0.511689503713329,0.41618189398557465,0.42793595353624275,0.35751742143152015,0.3882720634420241,0.38798832449431236,0.34651798445295434,0.36676094876225185,0.3601268443604867,0.3549392275719748,0.3541269837683383,0.36481759537683395,0.3699562089851052,0.37179020462918466,0.3857666962203563,0.39317758516558865,0.4002807734111254,0.4037121947225095,0.41764398580824497,0.44157627823128276,0.4584983958316203,0.4809167007950869,0.5310892279696174,0.48658693238079465,,,,,,,,,,,,,,,,,,,,,,,,
