,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm
albert-base-v2-True,0.3320365738783162,0.4331977647558055,0.4031758336686072,0.3457074786325289,0.34132715753178366,0.32965567358261344,0.32602700040397026,0.33104689488502376,0.3416374616799717,0.374111990792471,0.4446384426734238,0.3724266841050264,,,,,,,,,,,,
bert-base-cased-True,0.5508291559922068,0.16037898046599827,0.1979509743835631,0.23676807559747481,0.29684568843258496,0.3337250847943505,0.2790911031287193,0.2238337185527533,0.24988483333496733,0.3079609786892397,0.3173908804806989,0.37576358048711117,,,,,,,,,,,,
albert-xxlarge-v2-True,0.10345795420106355,0.412599806219525,0.2837956020784167,0.30223542828859146,0.23181100962178997,0.22523460526943473,0.17718758560650272,0.1715965862258212,0.16346875972999117,0.16069980848015322,0.22527667492204645,0.3655710679584255,,,,,,,,,,,,
bert-large-uncased-True,0.5835758101926484,0.18830664645818074,-0.18028981838207417,-0.16462175488748412,-0.13981525761924504,-0.02160043377854022,-0.030831467100022637,0.10415160114770351,0.04951485210441259,-0.015057041262762437,0.011945477386018156,0.09766835750777667,0.2107462661855754,0.4140929656884587,0.3053627745056873,0.1745004852530324,0.34155731874743267,0.24312248631040342,0.2554665904372144,0.25672420066038043,0.2985419370795776,0.19209985156617132,0.09576083510783619,0.23120270053876055
albert-base-v1-True,0.27134684178989876,0.331048592967654,0.29767327182406567,0.38370253915208397,0.30569190311211286,0.36273953063809333,0.3458501743567141,0.35438382750744124,0.3596236053455378,0.3761355731816935,0.38242312579005117,0.35926278483229007,,,,,,,,,,,,
xlnet-base-cased-True,0.08557831264348208,0.21118079015341681,0.12352074439479048,0.10478144880112555,0.10432638625571648,0.1575255104391463,0.11528801360997817,0.15419200514826464,0.09501330166989036,0.079228189665553,0.12860195146967623,0.06803024116277603,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.3210337003482511,0.10580469429406182,0.336590724402525,0.30191472542081604,0.3973540695316559,0.3915870286819591,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.5828750584870745,0.18609887303991496,0.4391014005300958,0.37691901107283865,0.41350791308759266,0.23248963014777704,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.6302067137678289,0.19569784708808874,0.2958384857411332,0.3038533707138539,0.41977573604796176,0.30573358681552354,0.3362165715432606,0.25329070374096474,0.234382686219364,0.4028704249907644,0.31800278690254974,0.28997309833753104,,,,,,,,,,,,
facebook-bart-base-True,0.22918401969178603,0.19272275135672587,0.18312035325893258,0.1459249654707475,0.15105285057605453,0.16986857275648837,,,,,,,,,,,,,,,,,,
