,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm,L25_attention-max_word-max_norm,L26_attention-max_word-max_norm,L27_attention-max_word-max_norm,L28_attention-max_word-max_norm,L29_attention-max_word-max_norm,L30_attention-max_word-max_norm,L31_attention-max_word-max_norm,L32_attention-max_word-max_norm,L33_attention-max_word-max_norm,L34_attention-max_word-max_norm,L35_attention-max_word-max_norm,L36_attention-max_word-max_norm,L37_attention-max_word-max_norm,L38_attention-max_word-max_norm,L39_attention-max_word-max_norm,L40_attention-max_word-max_norm,L41_attention-max_word-max_norm,L42_attention-max_word-max_norm,L43_attention-max_word-max_norm,L44_attention-max_word-max_norm,L45_attention-max_word-max_norm,L46_attention-max_word-max_norm,L47_attention-max_word-max_norm,L48_attention-max_word-max_norm
task_2_allenai-longformer-large-4096-finetuned-triviaqa-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_roberta-large-True,0.5332056100063864,0.5619599884082509,0.5627490965660263,0.5899991592022141,0.5419688583379455,0.538451869218363,0.5648512295479191,0.5566686168022564,0.5792695343709654,0.5427848796106294,0.53112266212705,0.49266317483612426,0.5282586451051291,0.45340734146798334,0.43940844784172234,0.5078542945116619,0.47859153798585236,0.4765347661743024,0.4387181333677306,0.5320874217183226,0.5362677826376101,0.523001463495285,0.4859927080307321,0.5508077530690748,,,,,,,,,,,,,,,,,,,,,,,,
task_2_facebook-bart-base-True,0.5645064352635105,0.5762015890066834,0.5191418590207968,0.5003398464249104,0.511368207368163,0.5573813239421892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_albert-large-v2-True,0.5939739967727833,0.5794696686774293,0.5918267756093586,0.5729722406828256,0.5698068541128576,0.5629855615677082,0.5668128685001426,0.5534196298522587,0.5498626833559216,0.5605410717534305,0.5519667031361576,0.5700801664679692,0.5834057065504443,0.5826175746005133,0.5984783875587183,0.6146082824330259,0.6067024944515289,0.6200334018082815,0.6371075244497483,0.6377361316106274,0.6310326886100933,0.6311916987847752,0.5851535906915329,0.5400186624200666,,,,,,,,,,,,,,,,,,,,,,,,
task_2_albert-xxlarge-v2-True,0.5876520563825848,0.6363210005123434,0.633576029499291,0.6166149738714356,0.6031592981305263,0.611033750495148,0.5988490134408732,0.60657277234798,0.613957493764424,0.628985479830564,0.6315250639341357,0.6631540372725598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_facebook-bart-large-True,0.5837006420714634,0.5277560934083995,0.49444905616364887,0.5627823206054743,0.5870581191662232,0.5236415483773234,0.5194721123168347,0.46814823613736806,0.5378265246817907,0.46088680861713693,0.5362684369639188,0.4862994577365921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_google-bigbird-roberta-large-True,0.5686289057644806,0.5793080413287831,0.5785489247710071,0.5933300596964879,0.5415255896088087,0.47048394580385783,0.5969253620523794,0.5153956884837534,0.4125278159842575,0.5307865136476535,0.5589768155261892,0.5045774764828406,0.5747763747514261,0.455778712088343,0.5354045624080029,0.5731463825848279,0.49347459930237597,0.4952539670822681,0.5874349666633055,0.5659874760209203,0.5442187482903706,0.522833538327987,0.5711346607899114,0.5661683975254046,,,,,,,,,,,,,,,,,,,,,,,,
task_2_xlnet-large-cased-True,0.4938846847165491,0.5361122451646619,0.6014325781454275,0.5615798666050461,0.48819585363724427,0.5434532916864057,0.4969812008843406,0.5423768918366492,0.5251201642747821,0.5402759712838962,0.5037277325404651,0.5163073758102452,0.4706922446786033,0.5259210345041841,0.49691986264534027,0.5433085766864231,0.5694522136456296,0.5717739844981136,0.53170971797828,0.49012094268924034,0.49972561468527477,0.4428178557330044,0.4112260441663009,0.45117343195049087,,,,,,,,,,,,,,,,,,,,,,,,
task_2_bert-base-cased-True,0.5999172716229275,0.5844809441173366,0.6019709784315729,0.5858593980064923,0.5357120263219567,0.6149289652045907,0.6127392572634022,0.4506429547245284,0.4418478571676806,0.5616618337372998,0.5738482253048935,0.5271257139676413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_2_bert-large-uncased-True,0.607648061130958,0.36997796688269896,0.37929164980119234,0.5931324996621515,0.44216888672268534,0.5339243173574229,0.4970901020480405,0.46453391263639904,0.3603222007555463,0.6122020056164819,0.5791379256402956,0.584303953553004,0.5919092635672798,0.6602899700487801,0.48413970983998583,0.32959243931113363,0.5180358214028352,0.5520493773910278,0.4504158125785823,0.45392522422696235,0.37647131447469645,0.5689350522538956,0.4929115340437793,0.5663664575311241,,,,,,,,,,,,,,,,,,,,,,,,
