,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm
albert-base-v2-True,0.05425658265731685,0.3093618703510231,0.2700824356972705,0.21149650395548655,0.20126927044950582,0.19477100963732724,0.20607040666847348,0.21843666399173167,0.24051234375073136,0.27236859465507146,0.3486034030913373,0.2551535285968998,,,,,,,,,,,,
bert-base-cased-True,0.4421756968826299,-0.2204216574367607,-0.02023758484079833,-0.07245844870608571,0.11521518652540554,0.14087080064056468,0.15480781798398854,0.025977254428289614,0.1365583565759138,0.3077979721280382,0.3379909213382397,0.28540212060395537,,,,,,,,,,,,
albert-xxlarge-v2-True,-0.1489123382777537,0.30969204161664554,0.2273827372099881,0.2816098408870626,0.1907462955425426,0.21250774202584838,0.15110806193785278,0.15917031356098416,0.1253692832523643,0.14496018743096728,0.1634198569608483,0.22169974946210247,,,,,,,,,,,,
bert-large-uncased-True,0.5326827425440838,-0.0007364318376895886,-0.45200401770055615,-0.44226822569716295,-0.37172511856532264,-0.22636350571172598,-0.23884420947904297,-0.048289763921771194,-0.22915179493863758,-0.3030749467194822,-0.2927336422650905,-0.11278765602808623,0.014490631666494435,0.28256692785560966,0.1696924114541398,0.03049520263159695,0.1488785513851134,0.11310537164013051,0.12210858449405639,0.13789284753318132,0.1699851951839237,0.07312346178593651,-0.011906023109648174,0.041232109754188714
albert-base-v1-True,0.0795235973552967,0.18738283699924244,0.25056975549215105,0.24850866502501337,0.1917968654960701,0.2326571651179357,0.23402129708438943,0.2512606906311418,0.26988804211476886,0.29735717675830076,0.31943190491874085,0.31071317116825076,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.1409580750879161,-0.07797059879365077,0.24200873762941158,0.19843656471685492,0.30246638658120517,0.319319816895977,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.4332331574384839,-0.006212308016919524,0.30081872968176326,0.17954776024304545,0.38059020303049673,0.06494521544217106,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.5352430081810213,-0.11330641612499703,0.049999053545216436,0.09104493288941173,0.27262260202949734,0.13303004772755433,0.17456873681875248,0.03688464686254612,0.19501313231731068,0.43018479632524526,0.3704911781412564,0.08778220233958478,,,,,,,,,,,,
albert-xlarge-v2-True,0.3091930233320136,0.04163073439078736,0.2553302353056336,0.0959869159827459,0.11022754213254059,0.12375664003613811,0.11787571721597649,0.08943729713911922,0.09853107388514698,0.06847935733251183,0.058659624048613614,0.1076193365033053,0.07961350541595891,0.08431037986734304,0.09745213600699265,0.11005264860484591,0.10459296503245645,0.15364707349236822,0.17604674941390527,0.19903719829631966,0.21975657748782196,0.19744516619051586,0.20453740710790627,0.062491384818176
bert-base-multilingual-cased-True,0.16270344984311735,-0.20905927229663576,-0.024338069327915768,0.17316308686433407,0.21060161038252664,0.13832448235224462,0.17530512236245813,0.13397781160210565,0.17322997138363097,0.16815681943046978,0.30653562777291316,0.029098155642534516,,,,,,,,,,,,
albert-large-v2-True,0.03871452717047929,0.05240723058534473,0.11259157014328142,-0.028777544084603587,0.01850448467826015,0.01846085259836044,-0.02136972479409593,-0.03269684677786927,-0.009257410548063673,0.04156702615316899,-0.009329449130910179,0.02517874235808489,0.09454674357571953,0.06654599453905877,0.0663198844337559,0.10449433312770232,0.11089737235861315,0.08892715029511643,0.10967902014770763,0.1721967025206714,0.13069496117246404,0.12828939974243056,0.15788638592177312,0.08866749248275715
distilbert-base-cased-True,0.36906657080039873,0.02277836585425697,0.2468403867275971,0.16115583424305294,0.2890737581986002,0.3141268509685036,,,,,,,,,,,,,,,,,,
bert-large-cased-True,0.45396932334295437,0.0463663517629855,-0.2639501879818657,-0.3335006852281195,-0.3362088318531003,-0.29952649227242817,-0.258938437282788,-0.23412627898061264,-0.1425572030327086,-0.20396224807906968,-0.13229793666170273,-0.08010508580049831,-0.17471176979791803,-0.1501952937433012,0.056475401871645195,0.014469228414568385,0.09196584882514355,0.1658886173946764,0.13300201929214336,0.30093473726183734,0.3165185885005435,0.2703502489664739,0.1594459247946,0.20649646306246738
